TransactionID,Date,AccountCode,Amount,Currency,CustomerID
1,2020-09-13,7000,4943.51,EUR,CUST010
2,2020-01-21,6000,3910.31,EUR,CUST010
3,2023-07-24,7000,2766.28,EUR,CUST002
4,2023-11-10,7000,4418.39,EUR,CUST007
5,2020-04-09,6000,2835.22,EUR,CUST013
6,2024-08-26,6000,4550.66,EUR,CUST008
7,2022-05-22,6000,1098.35,EUR,CUST015
8,2023-11-16,6000,2746.59,EUR,CUST017
9,2022-04-04,7000,2471.22,EUR,CUST006
10,2020-10-09,7000,3704.91,EUR,CUST005
11,2021-08-06,6000,2035.81,EUR,CUST010
12,2021-07-06,6000,1957.64,EUR,CUST016
13,2023-04-25,7000,1340.72,EUR,CUST015
14,2022-01-16,7000,517.66,EUR,CUST015
15,2022-12-06,6000,4713.2,EUR,CUST010
16,2025-04-13,6000,2022.97,EUR,CUST001
17,2025-06-19,7000,2704.46,EUR,CUST016
18,2023-01-09,6000,787.97,EUR,CUST010
19,2022-12-23,7000,2005.32,EUR,CUST015
20,2025-06-23,7000,809.52,EUR,CUST009
21,2023-11-14,7000,2398.23,EUR,CUST010
22,2020-07-28,6000,1946.47,EUR,CUST010
23,2020-01-10,6000,4496.74,EUR,CUST009
24,2021-03-16,7000,4671.7,EUR,CUST010
25,2019-10-02,7000,2089.08,EUR,CUST002
26,2022-03-10,6000,3103.22,EUR,CUST016
27,2021-04-24,6000,824.2,EUR,CUST008
28,2020-10-18,6000,1490.07,EUR,CUST009
29,2020-11-23,7000,4413.53,EUR,CUST013
30,2020-12-01,7000,1234.97,EUR,CUST006
31,2025-03-16,6000,2121.18,EUR,CUST017
32,2023-02-24,6000,988.02,EUR,CUST006
33,2024-02-15,7000,1589.2,EUR,CUST001
34,2025-05-18,6000,2227.9,EUR,CUST006
35,2021-11-03,7000,949.32,EUR,CUST006
36,2025-04-15,6000,795.57,EUR,CUST008
37,2021-08-22,6000,1863.85,EUR,CUST004
38,2024-05-30,7000,1720.77,EUR,CUST001
39,2020-12-06,6000,1505.08,EUR,CUST012
40,2021-05-14,7000,4275.01,EUR,CUST009
41,2019-10-16,7000,564.03,EUR,CUST020
42,2020-02-20,6000,3193.16,EUR,CUST017
43,2023-02-16,7000,3847.81,EUR,CUST020
44,2020-04-16,7000,2001.59,EUR,CUST012
45,2020-04-08,7000,3670.66,EUR,CUST008
46,2023-04-07,7000,4145.97,EUR,CUST014
47,2025-05-19,7000,2492.72,EUR,CUST014
48,2020-11-02,6000,3746.4,EUR,CUST001
49,2025-01-24,7000,3704.13,EUR,CUST004
50,2023-12-22,7000,1243.56,EUR,CUST013
51,2021-01-13,6000,403.06,EUR,CUST020
52,2021-08-26,7000,4259.82,EUR,CUST003
53,2021-09-03,7000,1040.39,EUR,CUST005
54,2021-02-13,6000,1245.52,EUR,CUST008
55,2022-06-04,7000,1711.92,EUR,CUST006
56,2024-11-19,6000,1055.16,EUR,CUST001
57,2023-02-03,6000,4085.24,EUR,CUST003
58,2021-01-20,6000,4259.39,EUR,CUST007
59,2020-06-11,7000,1018.51,EUR,CUST013
60,2024-10-18,6000,1223.61,EUR,CUST012
61,2022-03-08,6000,4441.76,EUR,CUST002
62,2020-11-02,6000,4915.8,EUR,CUST010
63,2020-09-05,6000,4268.96,EUR,CUST014
64,2019-10-23,7000,4224.51,EUR,CUST016
65,2022-07-28,6000,4327.45,EUR,CUST002
66,2022-05-04,7000,3537.41,EUR,CUST001
67,2020-12-11,7000,2316.4,EUR,CUST001
68,2025-09-06,6000,2354.81,EUR,CUST016
69,2022-11-10,6000,4864.14,EUR,CUST003
70,2021-01-13,6000,3524.64,EUR,CUST001
71,2024-01-22,7000,335.51,EUR,CUST020
72,2024-06-07,6000,4629.96,EUR,CUST014
73,2020-02-25,7000,2597.66,EUR,CUST008
74,2021-01-02,6000,2841.47,EUR,CUST008
75,2022-01-20,7000,3933.63,EUR,CUST001
76,2024-05-11,6000,1907.97,EUR,CUST020
77,2024-06-05,6000,278.64,EUR,CUST017
78,2024-09-13,7000,3433.02,EUR,CUST008
79,2021-01-30,7000,3191.25,EUR,CUST019
80,2024-01-28,7000,1170.84,EUR,CUST003
81,2020-12-06,7000,2979.99,EUR,CUST017
82,2021-12-26,7000,3762.28,EUR,CUST020
83,2022-07-24,7000,3076.1,EUR,CUST004
84,2020-04-18,6000,4263.54,EUR,CUST019
85,2023-10-31,6000,993.21,EUR,CUST014
86,2023-01-14,7000,1390.49,EUR,CUST017
87,2022-07-07,7000,2015.97,EUR,CUST010
88,2021-11-10,6000,2990.03,EUR,CUST018
89,2023-08-03,7000,4762.2,EUR,CUST016
90,2021-12-12,7000,3416.36,EUR,CUST019
91,2024-03-17,7000,1034.89,EUR,CUST006
92,2024-03-18,6000,1848.39,EUR,CUST011
93,2024-04-16,7000,2732.01,EUR,CUST007
94,2021-03-20,6000,3976.62,EUR,CUST020
95,2021-08-14,7000,1978.61,EUR,CUST005
96,2024-09-06,7000,114.12,EUR,CUST002
97,2022-01-06,6000,4959.4,EUR,CUST018
98,2025-05-30,7000,3027.04,EUR,CUST010
99,2024-03-16,6000,1515.08,EUR,CUST009
100,2021-10-30,7000,2064.85,EUR,CUST002
101,2020-12-20,6000,1654.45,EUR,CUST008
102,2021-07-09,6000,4914.99,EUR,CUST016
103,2020-10-29,6000,650.09,EUR,CUST020
104,2025-02-25,7000,492.69,EUR,CUST012
105,2022-03-29,6000,4147.73,EUR,CUST020
106,2021-07-14,6000,704.94,EUR,CUST019
107,2019-10-26,6000,591.68,EUR,CUST011
108,2021-11-09,7000,2626.4,EUR,CUST014
109,2024-10-30,6000,4554.31,EUR,CUST020
110,2024-06-06,7000,3576.8,EUR,CUST020
111,2024-09-03,6000,2633.55,EUR,CUST017
112,2022-12-19,7000,3350.6,EUR,CUST007
113,2021-10-27,7000,3426.73,EUR,CUST006
114,2025-02-28,6000,4998.84,EUR,CUST007
115,2025-01-28,6000,3745.47,EUR,CUST020
116,2020-12-25,6000,3804.48,EUR,CUST008
117,2022-05-11,7000,4703.99,EUR,CUST016
118,2022-07-10,6000,1444.17,EUR,CUST012
119,2022-11-11,6000,4896.28,EUR,CUST007
120,2024-06-24,6000,3254.75,EUR,CUST002
121,2023-01-07,7000,3675.19,EUR,CUST011
122,2025-02-28,7000,2259.26,EUR,CUST003
123,2024-02-19,7000,741.38,EUR,CUST004
124,2019-11-02,7000,1303.18,EUR,CUST008
125,2025-08-15,7000,2025.17,EUR,CUST003
126,2021-01-28,7000,3193.7,EUR,CUST010
127,2023-03-18,7000,2119.91,EUR,CUST013
128,2023-05-03,6000,2920.85,EUR,CUST012
129,2022-11-02,7000,3867.51,EUR,CUST015
