OpportunityID,CustomerID,OpportunityName,Stage,ExpectedCloseDate,ExpectedRevenue,Owner,Probability
OPP001,CUST008,Incubate Ubiquitous Info-Mediaries,Negotiation,2025-09-05,1870.62,Megan,10
OPP002,CUST010,Strategize 24/7 Info-Mediaries,Qualified,2025-07-30,3562.83,Ryan,90
OPP003,CUST017,Deploy B2C Models,Qualified,2025-11-21,15896.27,Jason,30
OPP004,CUST009,Aggregate E-Business Roi,Closed Won,2025-10-08,11196.1,Tammy,10
OPP005,CUST005,Redefine Efficient Convergence,Proposal,2025-11-25,5400.33,Christopher,90
OPP006,CUST016,Repurpose Next-Generation Interfaces,Negotiation,2025-08-06,12229.85,Samantha,70
OPP007,CUST010,Disintermediate Strategic Content,Closed Lost,2025-11-20,18007.4,Ann,30
OPP008,CUST017,Aggregate Extensible Solutions,Proposal,2025-07-24,2614.74,Christine,10
OPP009,CUST017,Transform Front-End Channels,Qualified,2025-10-11,8115.81,Kimberly,30
OPP010,CUST011,Scale B2C Channels,Closed Lost,2025-12-04,17469.58,Gina,10
OPP011,CUST017,Maximize Cross-Platform Architectures,Qualified,2025-12-28,17948.67,Cheryl,50
OPP012,CUST013,Scale Frictionless Bandwidth,Closed Won,2025-10-30,15186.49,Michael,30
OPP013,CUST013,Integrate Robust Platforms,Closed Lost,2025-12-20,17103.09,Erin,70
OPP014,CUST016,Scale Dot-Com Portals,Closed Lost,2025-11-10,9002.75,John,90
OPP015,CUST005,Strategize Intuitive Systems,Closed Won,2025-12-04,18468.96,Laura,30
OPP016,CUST017,Implement Collaborative Deliverables,Closed Won,2025-12-23,14015.81,Cesar,10
OPP017,CUST019,Aggregate Killer Networks,Proposal,2025-11-04,9223.2,Daniel,50
OPP018,CUST005,Innovate World-Class Methodologies,Negotiation,2025-09-19,19435.02,Joshua,10
OPP019,CUST009,Innovate Granular Portals,Closed Lost,2025-09-30,6196.63,Kevin,30
OPP020,CUST013,Iterate Frictionless Mindshare,Proposal,2025-10-05,2750.76,Mark,10
OPP021,CUST014,Leverage Revolutionary Schemas,Lead,2025-12-08,1527.2,Theresa,50
OPP022,CUST009,Engineer Bricks-And-Clicks Technologies,Closed Lost,2025-09-21,18669.5,Jonathan,30
OPP023,CUST010,Brand Revolutionary Content,Closed Lost,2025-12-15,6863.54,Selena,30
OPP024,CUST020,Expedite Clicks-And-Mortar Networks,Lead,2025-10-27,16500.81,Thomas,90
OPP025,CUST005,Leverage Bricks-And-Clicks Users,Closed Won,2025-07-15,2152.11,Tina,10
OPP026,CUST012,Strategize Granular E-Tailers,Lead,2025-10-03,10124.22,Dustin,50
OPP027,CUST015,Implement Synergistic E-Tailers,Lead,2025-07-28,4492.98,Hector,10
OPP028,CUST007,Integrate Granular Relationships,Closed Won,2025-10-11,5405.49,Sarah,10
OPP029,CUST010,Re-Intermediate Ubiquitous Initiatives,Qualified,2025-12-27,561.41,Clinton,50
OPP030,CUST004,Redefine User-Centric Eyeballs,Closed Lost,2025-08-28,9131.04,Melanie,70
